Date,Person_ID,Age,Gender,City,Temperature_C,Activity_Level,Water_Consumed_Liters
2025-01-01,P0001,21,Female,Bangalore,22.1,Medium,2.4
2025-01-02,P0001,21,Female,Chennai,41.0,Medium,3.31
2025-01-03,P0001,21,Female,Hyderabad,26.4,High,2.96
2025-01-04,P0001,21,Female,Delhi,31.4,Medium,3.16
2025-01-05,P0001,21,Female,Hyderabad,35.7,Low,2.43
2025-01-06,P0001,21,Female,Bangalore,33.2,Low,2.53
2025-01-07,P0001,21,Female,Hyderabad,24.8,Medium,2.66
2025-01-08,P0001,21,Female,Delhi,39.1,High,3.75
2025-01-09,P0001,21,Female,Bangalore,32.4,High,3.26
2025-01-10,P0001,21,Female,Delhi,15.4,Medium,2.4
2025-01-11,P0001,21,Female,Hyderabad,21.6,Medium,2.61
2025-01-12,P0001,21,Female,Hyderabad,28.2,Medium,3.08
2025-01-13,P0001,21,Female,Bangalore,15.8,Medium,2.31
2025-01-14,P0001,21,Female,Hyderabad,18.1,Medium,2.43
2025-01-15,P0001,21,Female,Chennai,30.5,Low,2.44
2025-01-16,P0001,21,Female,Delhi,27.0,Low,2.25
2025-01-17,P0001,21,Female,Hyderabad,20.5,Medium,2.51
2025-01-18,P0001,21,Female,Chennai,18.6,Medium,2.61
2025-01-19,P0001,21,Female,Mumbai,37.6,Medium,3.24
2025-01-20,P0001,21,Female,Hyderabad,38.8,High,3.72
2025-01-21,P0001,21,Female,Hyderabad,19.7,High,3.0
2025-01-22,P0001,21,Female,Bangalore,17.7,Medium,2.5
2025-01-23,P0001,21,Female,Bangalore,26.1,Medium,2.67
2025-01-24,P0001,21,Female,Hyderabad,27.7,High,3.34
2025-01-25,P0001,21,Female,Delhi,33.8,Medium,2.94
2025-01-26,P0001,21,Female,Bangalore,26.3,Medium,2.8
2025-01-27,P0001,21,Female,Bangalore,21.4,Low,2.12
2025-01-28,P0001,21,Female,Chennai,38.1,High,3.86
2025-01-29,P0001,21,Female,Mumbai,15.9,High,2.62
2025-01-30,P0001,21,Female,Hyderabad,27.3,Medium,2.62
2025-01-31,P0001,21,Female,Hyderabad,21.2,Medium,2.72
2025-02-01,P0001,21,Female,Chennai,39.7,Medium,3.48
2025-02-02,P0001,21,Female,Delhi,32.0,Medium,2.9
2025-02-03,P0001,21,Female,Delhi,25.7,High,3.11
2025-02-04,P0001,21,Female,Delhi,23.5,Low,2.14
2025-02-05,P0001,21,Female,Mumbai,31.9,Medium,2.94
2025-02-06,P0001,21,Female,Hyderabad,31.8,Medium,3.07
2025-02-07,P0001,21,Female,Bangalore,17.0,High,2.54
2025-02-08,P0001,21,Female,Chennai,27.9,High,3.25
2025-02-09,P0001,21,Female,Bangalore,20.7,Low,1.95
2025-02-10,P0001,21,Female,Chennai,39.6,Medium,3.32
2025-02-11,P0001,21,Female,Chennai,39.2,Medium,3.43
2025-02-12,P0001,21,Female,Delhi,29.8,Medium,3.01
2025-02-13,P0001,21,Female,Delhi,31.3,Low,2.26
2025-02-14,P0001,21,Female,Hyderabad,21.3,Medium,2.7
